Part Name,Specifications,Notes,Quantity,Quantity * Cost,US Link
Stainless Steel Rod,"Length: 300mm, Diamater: 8mm",,1,$5.02,https://www.aliexpress.us/item/3256804855023250.html?spm=a2g0o.cart.0.0.66b438da30aQZd&mp=1&pdp_npi=6%40dis%21USD%21USD+5.02%21USD+0.99%21%21USD+0.99%21%21%21%402101e80f17786352752542352e2146%2112000031424484633%21ct%21US%216752161090%21%211%210%21&_gl=1*u5ka2g*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1Mjc1JGo2MCRsMCRoMA..&gatewayAdapt=glo2usa
RJ45 Ethernet Breakout Board,,Allows for pedal + wheel communciation via UART (through an ethernet cable),2,$3.28,https://www.aliexpress.us/item/3256811998077487.html?spm=a2g0o.cart.0.0.66b438da30aQZd&mp=1&pdp_npi=6%40dis%21USD%21USD+14.30%21USD+3.86%21%21USD+3.86%21%21%21%402101e80f17786352752542352e2146%2112000057718462826%21ct%21US%216752161090%21%211%210%21&_gl=1*14ennjd*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1MjgxJGo1NCRsMCRoMA..&gatewayAdapt=glo2usa
USB C to USB C Cable,Needs to be DATA,,1,$4.91,https://www.aliexpress.us/item/3256806774981089.html?spm=a2g0o.cart.0.0.66b438da30aQZd&mp=1&pdp_npi=6%40dis%21USD%21USD+4.91%21USD+0.99%21%21USD+0.99%21%21%21%402101e80f17786352752542352e2146%2112000038872418456%21ct%21US%216752161090%21%211%210%21&_gl=1*fqmmwo*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1MjkwJGo0NSRsMCRoMA..&gatewayAdapt=glo2usa
Neodymium Magnets,20x10x3mm,,4,$8.02,https://www.aliexpress.us/item/3256810280617853.html?spm=a2g0o.cart.0.0.66b438da30aQZd&mp=1&pdp_npi=6%40dis%21USD%21USD+8.02%21USD+0.99%21%21USD+0.99%21%21%21%402101e80f17786352752542352e2146%2112000052509083342%21ct%21US%216752161090%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&_gl=1*gwsciy*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1MzE1JGoyMCRsMCRoMA..&gatewayAdapt=glo2usa
ESP32-S3-DevKitC-1,,"One for pedals, one for the wheel",2,$13.14,https://www.aliexpress.us/item/3256809704482132.html?spm=a2g0o.cart.0.0.66b438da30aQZd&mp=1&pdp_npi=6%40dis%21USD%21USD+6.57%21USD+6.57%21%21USD+6.57%21%21%21%402101e80f17786352752542352e2146%2112000050494537024%21ct%21US%216752161090%21%212%210%21&_gl=1*tb4pt*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1MzM5JGo2MCRsMCRoMA..&gatewayAdapt=glo2usa
SK8,,,4,$6.21,https://www.aliexpress.us/item/3256811734170562.html?spm=a2g0o.cart.0.0.66b438da30aQZd&mp=1&pdp_npi=6%40dis%21USD%21USD+6.21%21USD+6.21%21%21USD+6.21%21%21%21%402101e80f17786353141853442e2146%2112000057039396976%21ct%21US%216752161090%21%211%210%21&_gl=1*smeg8e*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1MzQ2JGo1MyRsMCRoMA..&gatewayAdapt=glo2usa
SK16,,,4,$9.65,https://www.aliexpress.us/item/3256811734170562.html?spm=a2g0o.cart.0.0.66b438da30aQZd&mp=1&pdp_npi=6%40dis%21USD%21USD+9.65%21USD+0.99%21%21USD+0.99%21%21%21%402101e80f17786352752542352e2146%2112000057039396984%21ct%21US%216752161090%21%211%210%21&_gl=1*wvyj49*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1MzU0JGo0NSRsMCRoMA..&gatewayAdapt=glo2usa
Tactile Push Button w/ Keycap,,,10,$6.86,aliexpress.us/item/2255801174941462.html?spm=a2g0o.cart.0.0.66b438da30aQZd&mp=1&pdp_npi=6%40dis%21USD%21USD%206.86%21USD%206.37%21%21USD%206.37%21%21%21%402101e80f17786353141853442e2146%2112000029333287870%21ct%21US%216752161090%21%211%210%21&_gl=1*1ty1ioe*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1MzY0JGozNSRsMCRoMA..&gatewayAdapt=glo2usa&_randl_shipto=US
Aluminum Wheel Spacer,Length: 51mm,,1,$14.35,aliexpress.us/item/2251832697347293.html?spm=a2g0o.cart.0.0.50d938dawiS2Za&mp=1&pdp_npi=6%40dis%21USD%21USD%2014.35%21USD%200.99%21%21USD%200.99%21%21%21%402101e80f17786353891635343e2146%2112000028287209110%21ct%21US%216752161090%21%211%210%21&_gl=1*1puhrk7*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1Mzg0JGoxNSRsMCRoMA..&gatewayAdapt=glo2usa&_randl_shipto=US
Compression Spring,.041 GA x 23/32 in. x 3-1/2in,,2,$3.99,https://www.homedepot.com/p/Prime-Line-Compression-Spring-Spring-Steel-Construction-Nickel-Plated-Finish-041-GA-x-23-32-in-x-3-1-2-in-2-Pack-SP-9711/100167222
